#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.101616E+04   0.308803E-01   0.000000E+00   0.262115E+01   0.501364E-07   0.298742E-02  -0.122364E-04
     3   0.962787E+03   0.396865E-01   0.000000E+00   0.293985E+01   0.609959E-07   0.298651E-02  -0.131247E-04
     4   0.911426E+03   0.344905E-01   0.000000E+00   0.275836E+01   0.702610E-07   0.291149E-02  -0.111104E-04
     5   0.873146E+03   0.230856E-01   0.000000E+00   0.235028E+01   0.782940E-07   0.280979E-02  -0.757236E-05
     6   0.847087E+03   0.129389E-01   0.000000E+00   0.189413E+01   0.853041E-07   0.270151E-02  -0.368102E-05
     7   0.830608E+03   0.698343E-02   0.000000E+00   0.148886E+01   0.914756E-07   0.259620E-02  -0.330323E-06
     8   0.820793E+03   0.447957E-02   0.000000E+00   0.117791E+01   0.969366E-07   0.249403E-02   0.191032E-05
     9   0.816290E+03   0.357586E-02   0.000000E+00   0.966728E+00   0.101796E-06   0.239369E-02   0.283595E-05
    10   0.815662E+03   0.304119E-02   0.000000E+00   0.847346E+00   0.106125E-06   0.229711E-02   0.262370E-05
    11   0.817529E+03   0.255578E-02   0.000000E+00   0.802398E+00   0.110016E-06   0.220860E-02   0.171662E-05
    12   0.822624E+03   0.223083E-02   0.000000E+00   0.812916E+00   0.113473E-06   0.212721E-02   0.583535E-06
    13   0.829048E+03   0.214009E-02   0.000000E+00   0.855288E+00   0.116597E-06   0.205553E-02  -0.445346E-06
    14   0.836635E+03   0.222317E-02   0.000000E+00   0.908446E+00   0.119379E-06   0.198629E-02  -0.117805E-05
    15   0.844338E+03   0.239875E-02   0.000000E+00   0.964856E+00   0.121893E-06   0.191996E-02  -0.148939E-05
    16   0.853938E+03   0.264690E-02   0.000000E+00   0.102604E+01   0.124141E-06   0.185387E-02  -0.131647E-05
    17   0.865282E+03   0.301021E-02   0.000000E+00   0.108948E+01   0.126152E-06   0.178967E-02  -0.827971E-06
    18   0.877226E+03   0.353235E-02   0.000000E+00   0.115391E+01   0.127959E-06   0.172989E-02  -0.252762E-06
    19   0.890531E+03   0.421690E-02   0.000000E+00   0.122253E+01   0.129574E-06   0.167434E-02   0.158216E-06
    20   0.903583E+03   0.504136E-02   0.000000E+00   0.129029E+01   0.131003E-06   0.162225E-02   0.223056E-06
    21   0.917082E+03   0.599926E-02   0.000000E+00   0.136179E+01   0.132268E-06   0.157300E-02   0.482711E-07
    22   0.931054E+03   0.710154E-02   0.000000E+00   0.143737E+01   0.133392E-06   0.152610E-02  -0.206406E-06
    23   0.945115E+03   0.834037E-02   0.000000E+00   0.151436E+01   0.134382E-06   0.148139E-02  -0.447879E-06
    24   0.959584E+03   0.971284E-02   0.000000E+00   0.158937E+01   0.135245E-06   0.143878E-02  -0.618998E-06
    25   0.974596E+03   0.112236E-01   0.000000E+00   0.165459E+01   0.135993E-06   0.139820E-02  -0.738223E-06
    26   0.989660E+03   0.128849E-01   0.000000E+00   0.171370E+01   0.136638E-06   0.135952E-02  -0.824853E-06
    27   0.100518E+04   0.147077E-01   0.000000E+00   0.176748E+01   0.137187E-06   0.132239E-02  -0.827564E-06
    28   0.102100E+04   0.166859E-01   0.000000E+00   0.181120E+01   0.137649E-06   0.128654E-02  -0.699606E-06
    29   0.103702E+04   0.188459E-01   0.000000E+00   0.184988E+01   0.138023E-06   0.125218E-02  -0.481485E-06
    30   0.105345E+04   0.212160E-01   0.000000E+00   0.187688E+01   0.138310E-06   0.121955E-02  -0.245087E-06
    31   0.106968E+04   0.237928E-01   0.000000E+00   0.190299E+01   0.138521E-06   0.118853E-02  -0.101854E-06
    32   0.108651E+04   0.265921E-01   0.000000E+00   0.192315E+01   0.138668E-06   0.115892E-02  -0.140598E-06
    33   0.110342E+04   0.295737E-01   0.000000E+00   0.193583E+01   0.138755E-06   0.113053E-02  -0.321984E-06
    34   0.112039E+04   0.327629E-01   0.000000E+00   0.194208E+01   0.138785E-06   0.110319E-02  -0.565682E-06
    35   0.113800E+04   0.361665E-01   0.000000E+00   0.193274E+01   0.138760E-06   0.107666E-02  -0.754275E-06
    36   0.115533E+04   0.398132E-01   0.000000E+00   0.191805E+01   0.138687E-06   0.105083E-02  -0.790035E-06
    37   0.117293E+04   0.437285E-01   0.000000E+00   0.189219E+01   0.138567E-06   0.102608E-02  -0.689501E-06
    38   0.119089E+04   0.479004E-01   0.000000E+00   0.185717E+01   0.138405E-06   0.100279E-02  -0.502106E-06
    39   0.120912E+04   0.523185E-01   0.000000E+00   0.181277E+01   0.138202E-06   0.980743E-03  -0.295335E-06
    40   0.122754E+04   0.569753E-01   0.000000E+00   0.175723E+01   0.137961E-06   0.959581E-03  -0.140963E-06
    41   0.124606E+04   0.618675E-01   0.000000E+00   0.168931E+01   0.137683E-06   0.939009E-03  -0.922815E-07
    42   0.126468E+04   0.670081E-01   0.000000E+00   0.161003E+01   0.137372E-06   0.918976E-03  -0.129572E-06
    43   0.128342E+04   0.724139E-01   0.000000E+00   0.152051E+01   0.137028E-06   0.899491E-03  -0.215008E-06
    44   0.130233E+04   0.780997E-01   0.000000E+00   0.142030E+01   0.136656E-06   0.880566E-03  -0.310900E-06
